"41","6","2015-01-13 03:32:17","19","3","18"
"9","10","2015-03-31 18:50:07","29","3","13"
"98","4","2015-05-03 06:16:59","49","2","30"
"15","6","2015-05-04 09:11:21","17","3","28"
"19","4","2015-05-30 04:04:24","45","3","4"
"94","4","2015-06-05 21:18:34","11","1","9"
"83","2","2015-06-22 07:03:54","11","3","15"
"65","5","2015-07-22 16:33:56","32","3","8"
"61","3","2015-08-17 08:03:34","38","2","30"
"81","10","2015-08-25 19:07:34","4","1","24"
"76","7","2015-08-27 01:06:07","13","1","22"
"44","1","2015-09-03 06:41:44","12","2","19"
"84","5","2015-10-03 19:43:13","39","3","26"
"79","7","2015-11-19 15:08:05","37","2","5"
"66","4","2015-11-20 15:56:42","18","2","26"
"12","6","2016-01-10 16:43:16","1","2","27"
"51","6","2016-02-22 21:33:38","28","2","4"
"52","10","2016-02-29 20:56:52","36","3","7"
"25","10","2016-03-13 16:33:11","44","1","7"
"88","8","2016-03-30 03:42:06","10","1","17"
"8","5","2016-04-14 12:59:51","36","3","29"
"5","3","2016-05-04 23:23:05","33","2","8"
"95","9","2016-05-11 03:10:18","9","1","14"
"54","11","2016-06-11 14:20:41","7","1","24"
"39","8","2016-07-17 13:46:02","27","1","16"
"71","8","2016-07-26 03:21:05","4","2","17"
"69","6","2016-08-07 09:27:13","48","2","3"
"4","3","2016-08-11 08:53:52","13","1","25"
"85","11","2016-09-24 06:04:21","18","1","20"
"23","10","2016-09-24 19:13:09","46","3","11"
"6","1","2016-10-10 14:15:39","40","1","25"
"64","3","2016-10-31 08:06:10","50","3","24"
"22","3","2016-10-31 14:31:44","41","2","18"
"99","3","2016-11-10 16:01:20","34","3","19"
"3","8","2016-12-05 08:02:58","40","3","13"
"24","10","2017-01-22 02:42:13","15","2","20"
"37","5","2017-01-23 03:01:48","6","2","13"
"34","3","2017-02-15 03:20:49","32","3","29"
"87","4","2017-02-15 11:32:50","30","2","2"
"10","3","2017-02-26 19:37:01","7","2","11"
"14","9","2017-04-02 01:39:36","19","2","24"
"96","10","2017-04-12 09:41:22","31","2","20"
"28","2","2017-05-04 01:28:28","7","2","2"
"73","11","2017-05-09 02:57:25","32","2","24"
"46","6","2017-05-12 09:49:55","45","1","19"
"58","11","2017-05-14 05:26:36","23","2","18"
"48","9","2017-06-17 18:41:43","45","2","24"
"82","3","2017-07-24 15:14:15","28","1","30"
"67","1","2017-08-20 01:43:26","32","2","10"
"92","7","2017-09-04 01:51:17","30","2","1"
"56","5","2017-09-09 10:32:17","3","3","24"
"93","1","2017-09-24 01:59:49","15","1","9"
"49","5","2017-10-04 08:00:22","28","1","1"
"27","4","2017-11-15 16:08:34","25","3","15"
"62","10","2017-12-17 15:20:00","40","1","29"
"29","2","2017-12-23 15:27:36","29","2","2"
"74","3","2017-12-31 13:21:12","33","2","12"
"18","1","2018-01-15 18:23:46","45","3","4"
"60","7","2018-03-02 07:44:51","45","3","8"
"35","4","2018-03-14 08:04:30","27","2","7"
"47","9","2018-03-28 16:35:34","7","2","6"
"57","9","2018-04-08 07:57:01","38","1","6"
"70","8","2018-04-21 06:49:14","7","3","15"
"42","10","2018-04-23 01:46:00","4","3","29"
"45","9","2018-05-15 06:18:40","18","3","21"
"26","1","2018-05-22 12:17:40","11","2","21"
"89","3","2018-05-24 23:57:47","35","2","5"
"20","2","2018-05-25 07:27:44","2","3","18"
"11","10","2018-05-30 15:12:34","35","3","14"
"13","9","2018-06-20 21:06:51","21","2","14"
"97","10","2018-07-16 10:42:35","34","2","11"
"55","2","2018-10-18 04:49:17","3","1","8"
"43","9","2018-10-23 02:05:29","44","2","9"
"90","7","2019-01-08 09:55:21","41","2","5"
"16","5","2019-01-15 21:53:41","2","1","28"
"75","5","2019-02-03 04:10:21","40","3","27"
"50","5","2019-02-14 20:56:00","25","3","10"
"36","6","2019-02-20 01:01:37","29","1","10"
"1","2","2019-04-23 23:12:07","17","3","3"
"68","2","2019-05-04 01:26:38","3","1","2"
"38","1","2019-05-13 06:38:20","29","1","23"
"21","2","2019-06-12 06:29:34","12","2","19"
"53","9","2019-07-04 14:48:45","40","3","3"
"63","8","2019-07-12 09:35:33","29","3","14"
"32","11","2019-07-19 07:40:00","28","2","20"
"17","10","2019-07-26 22:24:25","21","2","2"
"31","7","2019-08-10 11:09:48","48","3","14"
"2","4","2019-08-20 21:54:45","8","2","30"
"7","8","2019-08-22 05:04:32","47","2","8"
"100","7","2019-08-26 07:04:39","33","3","28"
"86","7","2019-08-29 06:05:09","45","2","26"
"72","4","2019-09-30 02:02:59","49","1","20"
"40","10","2019-09-30 20:31:48","41","1","29"
"77","11","2019-10-24 21:32:57","8","3","23"
"59","2","2019-10-31 07:09:43","28","1","6"
"30","7","2019-11-25 13:45:42","38","1","1"
"80","4","2019-11-30 13:35:16","19","1","25"
"33","2","2019-12-14 14:38:34","10","1","20"
"91","9","2019-12-23 19:38:17","15","3","4"
"78","1","2019-12-30 20:46:17","19","3","22"
